exp2 HLL++ window map  (T=500, seed=31337, hash=xxh64/ints + ideal control)
branch = fraction of trials resolved by linear counting / bias-corrected / raw estimator
sparse* = zone a real HLL++ impl covers with near-exact sparse mode (switch band ~[m/4, 3m/4])

       arm      m    n/m       n     d |  rmse_raw rmse_clip  rmse_tpm |  dCLIP%   dTPM% |  z_clip |  bind% |    lc/bias/raw | sp
---------------------------------------------------------------------------------------------------------------------------------
xxh64-ints   1024   0.05      51  1.00 |   0.02215   0.01706   0.02810 |   23.00  -26.82 |   -15.2 |  66.40 | 1.00/0.00/0.00 | *
xxh64-ints   1024   0.05      51  1.02 |   0.02214   0.02014   0.02028 |    9.06    8.41 |   -14.8 |  30.40 | 1.00/0.00/0.00 | *
xxh64-ints   1024   0.05      51  1.10 |   0.02320   0.02320   0.02264 |    0.00    2.41 |     0.0 |   0.00 | 1.00/0.00/0.00 | *
xxh64-ints   1024   0.10     102  1.00 |   0.02199   0.01567   0.02758 |   28.73  -25.44 |   -12.3 |  45.80 | 1.00/0.00/0.00 | *
xxh64-ints   1024   0.10     102  1.02 |   0.02323   0.02052   0.02152 |   11.66    7.37 |    -7.6 |  24.20 | 1.00/0.00/0.00 | *
xxh64-ints   1024   0.10     102  1.10 |   0.02144   0.02144   0.02067 |    0.00    3.60 |     0.0 |   0.00 | 1.00/0.00/0.00 | *
xxh64-ints   1024   0.25     256  1.00 |   0.02396   0.01714   0.02841 |   28.48  -18.56 |   -10.2 |  52.00 | 1.00/0.00/0.00 | *
xxh64-ints   1024   0.25     256  1.02 |   0.02380   0.02002   0.02081 |   15.89   12.54 |    -6.9 |  20.20 | 1.00/0.00/0.00 | *
xxh64-ints   1024   0.25     256  1.10 |   0.02405   0.02405   0.02302 |    0.00    4.28 |     0.0 |   0.00 | 1.00/0.00/0.00 | *
xxh64-ints   1024   0.50     512  1.00 |   0.02403   0.01705   0.02854 |   29.05  -18.76 |   -10.0 |  50.00 | 1.00/0.00/0.00 | *
xxh64-ints   1024   0.50     512  1.02 |   0.02417   0.02042   0.02169 |   15.49   10.26 |    -7.0 |  19.40 | 1.00/0.00/0.00 | *
xxh64-ints   1024   0.50     512  1.10 |   0.02464   0.02464   0.02349 |    0.00    4.68 |     0.0 |   0.00 | 1.00/0.00/0.00 | *
xxh64-ints   1024   1.00    1024  1.00 |   0.02443   0.01661   0.02801 |   32.02  -14.66 |   -10.7 |  51.60 | 0.00/1.00/0.00 |  
xxh64-ints   1024   1.00    1024  1.02 |   0.02374   0.02007   0.02119 |   15.48   10.77 |    -6.9 |  17.00 | 0.00/1.00/0.00 |  
xxh64-ints   1024   1.00    1024  1.10 |   0.02630   0.02630   0.02502 |    0.00    4.87 |     0.0 |   0.00 | 0.00/1.00/0.00 |  
xxh64-ints   1024   2.00    2048  1.00 |   0.02603   0.01781   0.02898 |   31.58  -11.35 |    -8.7 |  45.60 | 0.00/1.00/0.00 |  
xxh64-ints   1024   2.00    2048  1.02 |   0.02509   0.02003   0.02058 |   20.18   17.97 |    -7.9 |  21.20 | 0.00/1.00/0.00 |  
xxh64-ints   1024   2.00    2048  1.10 |   0.02648   0.02648   0.02504 |    0.00    5.44 |     0.0 |   0.00 | 0.00/1.00/0.00 |  
xxh64-ints   1024   4.00    4096  1.00 |   0.02932   0.02075   0.03014 |   29.23   -2.79 |   -10.3 |  51.20 | 0.00/1.00/0.00 |  
xxh64-ints   1024   4.00    4096  1.02 |   0.02832   0.02260   0.02298 |   20.21   18.87 |    -7.9 |  23.40 | 0.00/1.00/0.00 |  
xxh64-ints   1024   4.00    4096  1.10 |   0.02964   0.02964   0.02780 |    0.00    6.20 |     0.0 |   0.00 | 0.00/1.00/0.00 |  
xxh64-ints   1024   8.00    8192  1.00 |   0.03212   0.02459   0.03284 |   23.46   -2.24 |    -9.3 |  45.80 | 0.00/0.00/1.00 |  
xxh64-ints   1024   8.00    8192  1.02 |   0.02937   0.02519   0.02559 |   14.22   12.86 |    -6.1 |  22.00 | 0.00/0.00/1.00 |  
xxh64-ints   1024   8.00    8192  1.10 |   0.03053   0.03053   0.02883 |    0.00    5.55 |     0.0 |   0.00 | 0.00/0.00/1.00 |  
xxh64-ints   1024  16.00   16384  1.00 |   0.03093   0.02323   0.03225 |   24.89   -4.29 |    -8.8 |  41.00 | 0.00/0.00/1.00 |  
xxh64-ints   1024  16.00   16384  1.02 |   0.03161   0.02657   0.02712 |   15.95   14.23 |    -7.2 |  22.00 | 0.00/0.00/1.00 |  
xxh64-ints   1024  16.00   16384  1.10 |   0.03019   0.03019   0.02866 |    0.00    5.07 |     0.0 |   0.00 | 0.00/0.00/1.00 |  
xxh64-ints   1024  32.00   32768  1.00 |   0.02987   0.02262   0.03173 |   24.28   -6.23 |    -9.2 |  44.80 | 0.00/0.00/1.00 |  
xxh64-ints   1024  32.00   32768  1.02 |   0.03161   0.02658   0.02715 |   15.93   14.13 |    -6.9 |  20.20 | 0.00/0.00/1.00 |  
xxh64-ints   1024  32.00   32768  1.10 |   0.03283   0.03283   0.03117 |    0.00    5.05 |     0.0 |   0.00 | 0.00/0.00/1.00 |  
xxh64-ints   4096   0.05     205  1.00 |   0.01088   0.00806   0.01411 |   25.88  -29.65 |   -12.4 |  61.80 | 1.00/0.00/0.00 | *
xxh64-ints   4096   0.05     205  1.02 |   0.01100   0.01079   0.00855 |    1.95   22.28 |    -3.2 |   3.60 | 1.00/0.00/0.00 | *
xxh64-ints   4096   0.05     205  1.10 |   0.01072   0.01072   0.01075 |    0.00   -0.28 |     0.0 |   0.00 | 1.00/0.00/0.00 | *
xxh64-ints   4096   0.10     410  1.00 |   0.01104   0.00771   0.01396 |   30.17  -26.48 |   -11.9 |  47.00 | 1.00/0.00/0.00 | *
xxh64-ints   4096   0.10     410  1.02 |   0.01146   0.01118   0.00924 |    2.47   19.39 |    -3.1 |   3.20 | 1.00/0.00/0.00 | *
xxh64-ints   4096   0.10     410  1.10 |   0.01106   0.01106   0.01108 |    0.00   -0.17 |     0.0 |   0.00 | 1.00/0.00/0.00 | *
xxh64-ints   4096   0.25    1024  1.00 |   0.01104   0.00823   0.01439 |   25.50  -30.25 |   -10.0 |  44.60 | 1.00/0.00/0.00 | *
xxh64-ints   4096   0.25    1024  1.02 |   0.01138   0.01103   0.00908 |    3.10   20.21 |    -3.3 |   4.00 | 1.00/0.00/0.00 | *
xxh64-ints   4096   0.25    1024  1.10 |   0.01188   0.01188   0.01188 |    0.00   -0.07 |     0.0 |   0.00 | 1.00/0.00/0.00 | *
xxh64-ints   4096   0.50    2048  1.00 |   0.01202   0.00820   0.01424 |   31.80  -18.49 |   -10.5 |  46.80 | 1.00/0.00/0.00 | *
xxh64-ints   4096   0.50    2048  1.02 |   0.01180   0.01127   0.00903 |    4.48   23.52 |    -3.7 |   4.40 | 1.00/0.00/0.00 | *
xxh64-ints   4096   0.50    2048  1.10 |   0.01195   0.01195   0.01196 |    0.00   -0.09 |     0.0 |   0.00 | 1.00/0.00/0.00 | *
xxh64-ints   4096   1.00    4096  1.00 |   0.01214   0.00867   0.01452 |   28.59  -19.59 |   -10.5 |  46.40 | 0.00/1.00/0.00 |  
xxh64-ints   4096   1.00    4096  1.02 |   0.01266   0.01228   0.01022 |    3.03   19.33 |    -2.6 |   2.20 | 0.00/1.00/0.00 |  
xxh64-ints   4096   1.00    4096  1.10 |   0.01310   0.01310   0.01311 |    0.00   -0.11 |     0.0 |   0.00 | 0.00/1.00/0.00 |  
xxh64-ints   4096   2.00    8192  1.00 |   0.01340   0.00962   0.01492 |   28.20  -11.30 |    -9.6 |  49.60 | 0.00/1.00/0.00 |  
xxh64-ints   4096   2.00    8192  1.02 |   0.01251   0.01175   0.00981 |    6.12   21.60 |    -4.0 |   5.80 | 0.00/1.00/0.00 |  
xxh64-ints   4096   2.00    8192  1.10 |   0.01310   0.01310   0.01310 |    0.00    0.00 |     0.0 |   0.00 | 0.00/1.00/0.00 |  
xxh64-ints   4096   4.00   16384  1.00 |   0.01391   0.00979   0.01499 |   29.65   -7.75 |   -10.5 |  49.20 | 0.00/1.00/0.00 |  
xxh64-ints   4096   4.00   16384  1.02 |   0.01394   0.01285   0.01067 |    7.83   23.46 |    -4.6 |   7.40 | 0.00/1.00/0.00 |  
xxh64-ints   4096   4.00   16384  1.10 |   0.01373   0.01373   0.01373 |    0.00    0.00 |     0.0 |   0.00 | 0.00/1.00/0.00 |  
xxh64-ints   4096   8.00   32768  1.00 |   0.01527   0.01163   0.01620 |   23.85   -6.04 |    -9.9 |  46.00 | 0.00/0.00/1.00 |  
xxh64-ints   4096   8.00   32768  1.02 |   0.01546   0.01467   0.01297 |    5.11   16.16 |    -4.7 |   8.20 | 0.00/0.00/1.00 |  
xxh64-ints   4096   8.00   32768  1.10 |   0.01527   0.01527   0.01525 |    0.00    0.09 |     0.0 |   0.00 | 0.00/0.00/1.00 |  
xxh64-ints   4096  16.00   65536  1.00 |   0.01617   0.01194   0.01637 |   26.16   -1.24 |    -8.7 |  45.40 | 0.00/0.00/1.00 |  
xxh64-ints   4096  16.00   65536  1.02 |   0.01663   0.01530   0.01337 |    7.99   19.61 |    -5.7 |  10.00 | 0.00/0.00/1.00 |  
xxh64-ints   4096  16.00   65536  1.10 |   0.01480   0.01480   0.01478 |    0.00    0.13 |     0.0 |   0.00 | 0.00/0.00/1.00 |  
xxh64-ints   4096  32.00  131072  1.00 |   0.01534   0.01159   0.01615 |   24.44   -5.28 |    -9.1 |  47.40 | 0.00/0.00/1.00 |  
xxh64-ints   4096  32.00  131072  1.02 |   0.01536   0.01399   0.01171 |    8.92   23.81 |    -5.1 |   9.20 | 0.00/0.00/1.00 |  
xxh64-ints   4096  32.00  131072  1.10 |   0.01586   0.01586   0.01586 |    0.00    0.01 |     0.0 |   0.00 | 0.00/0.00/1.00 |  
xxh64-ints  16384   0.05     819  1.00 |   0.00537   0.00399   0.00707 |   25.64  -31.80 |   -11.2 |  53.40 | 1.00/0.00/0.00 | *
xxh64-ints  16384   0.05     819  1.02 |   0.00523   0.00523   0.00475 |    0.00    9.11 |     0.0 |   0.00 | 1.00/0.00/0.00 | *
xxh64-ints  16384   0.05     819  1.10 |   0.00563   0.00563   0.00562 |    0.00    0.02 |     0.0 |   0.00 | 1.00/0.00/0.00 | *
xxh64-ints  16384   0.10    1638  1.00 |   0.00551   0.00389   0.00701 |   29.34  -27.23 |   -10.7 |  51.40 | 1.00/0.00/0.00 | *
xxh64-ints  16384   0.10    1638  1.02 |   0.00543   0.00543   0.00503 |    0.00    7.35 |     0.0 |   0.00 | 1.00/0.00/0.00 | *
xxh64-ints  16384   0.10    1638  1.10 |   0.00561   0.00561   0.00561 |    0.00   -0.02 |     0.0 |   0.00 | 1.00/0.00/0.00 | *
xxh64-ints  16384   0.25    4096  1.00 |   0.00596   0.00391   0.00692 |   34.46  -15.94 |   -10.3 |  53.80 | 1.00/0.00/0.00 | *
xxh64-ints  16384   0.25    4096  1.02 |   0.00563   0.00563   0.00518 |    0.00    7.96 |     0.0 |   0.00 | 1.00/0.00/0.00 | *
xxh64-ints  16384   0.25    4096  1.10 |   0.00585   0.00585   0.00585 |    0.00   -0.05 |     0.0 |   0.00 | 1.00/0.00/0.00 | *
xxh64-ints  16384   0.50    8192  1.00 |   0.00600   0.00445   0.00729 |   25.79  -21.60 |   -11.3 |  49.60 | 1.00/0.00/0.00 | *
xxh64-ints  16384   0.50    8192  1.02 |   0.00619   0.00619   0.00567 |    0.00    8.35 |     0.0 |   0.00 | 1.00/0.00/0.00 | *
xxh64-ints  16384   0.50    8192  1.10 |   0.00619   0.00619   0.00620 |    0.00   -0.04 |     0.0 |   0.00 | 1.00/0.00/0.00 | *
xxh64-ints  16384   1.00   16384  1.00 |   0.00758   0.00487   0.00734 |   35.77    3.12 |   -15.0 |  49.40 | 0.00/1.00/0.00 |  
xxh64-ints  16384   1.00   16384  1.02 |   0.00773   0.00773   0.00701 |    0.00    9.36 |     0.0 |   0.00 | 0.00/1.00/0.00 |  
xxh64-ints  16384   1.00   16384  1.10 |   0.00762   0.00762   0.00762 |    0.00   -0.05 |     0.0 |   0.00 | 0.00/1.00/0.00 |  
xxh64-ints  16384   2.00   32768  1.00 |   0.00686   0.00457   0.00723 |   33.33   -5.35 |   -10.7 |  54.20 | 0.00/1.00/0.00 |  
xxh64-ints  16384   2.00   32768  1.02 |   0.00653   0.00653   0.00595 |    0.00    8.84 |     0.0 |   0.00 | 0.00/1.00/0.00 |  
xxh64-ints  16384   2.00   32768  1.10 |   0.00626   0.00626   0.00627 |    0.00   -0.10 |     0.0 |   0.00 | 0.00/1.00/0.00 |  
xxh64-ints  16384   4.00   65536  1.00 |   0.00762   0.00482   0.00729 |   36.79    4.35 |   -10.9 |  54.40 | 0.00/1.00/0.00 |  
xxh64-ints  16384   4.00   65536  1.02 |   0.00689   0.00687   0.00609 |    0.36   11.61 |    -1.2 |   0.40 | 0.00/1.00/0.00 |  
xxh64-ints  16384   4.00   65536  1.10 |   0.00728   0.00728   0.00730 |    0.00   -0.20 |     0.0 |   0.00 | 0.00/1.00/0.00 |  
xxh64-ints  16384   8.00  131072  1.00 |   0.00755   0.00531   0.00773 |   29.75   -2.29 |    -9.8 |  47.60 | 0.00/0.00/1.00 |  
xxh64-ints  16384   8.00  131072  1.02 |   0.00757   0.00752   0.00678 |    0.65   10.40 |    -1.3 |   0.40 | 0.00/0.00/1.00 |  
xxh64-ints  16384   8.00  131072  1.10 |   0.00803   0.00803   0.00803 |    0.00    0.02 |     0.0 |   0.00 | 0.00/0.00/1.00 |  
xxh64-ints  16384  16.00  262144  1.00 |   0.00784   0.00499   0.00739 |   36.35    5.74 |   -11.4 |  54.40 | 0.00/0.00/1.00 |  
xxh64-ints  16384  16.00  262144  1.02 |   0.00781   0.00779   0.00683 |    0.34   12.56 |    -1.7 |   0.80 | 0.00/0.00/1.00 |  
xxh64-ints  16384  16.00  262144  1.10 |   0.00817   0.00817   0.00818 |    0.00   -0.05 |     0.0 |   0.00 | 0.00/0.00/1.00 |  
xxh64-ints  16384  32.00  524288  1.00 |   0.00754   0.00446   0.00703 |   40.78    6.70 |   -11.8 |  58.20 | 0.00/0.00/1.00 |  
xxh64-ints  16384  32.00  524288  1.02 |   0.00764   0.00757   0.00654 |    0.88   14.48 |    -1.1 |   0.80 | 0.00/0.00/1.00 |  
xxh64-ints  16384  32.00  524288  1.10 |   0.00764   0.00764   0.00765 |    0.00   -0.20 |     0.0 |   0.00 | 0.00/0.00/1.00 |  
     ideal   1024   0.05      51  1.00 |   0.02205   0.01720   0.02830 |   21.99  -28.34 |   -14.7 |  64.40 | 1.00/0.00/0.00 | *
     ideal   1024   0.05      51  1.02 |   0.02156   0.01964   0.02013 |    8.92    6.66 |   -14.1 |  28.40 | 1.00/0.00/0.00 | *
     ideal   1024   0.05      51  1.10 |   0.02141   0.02141   0.02085 |    0.00    2.62 |     0.0 |   0.00 | 1.00/0.00/0.00 | *
     ideal   1024   0.10     102  1.00 |   0.02260   0.01622   0.02779 |   28.23  -22.94 |   -11.7 |  47.60 | 1.00/0.00/0.00 | *
     ideal   1024   0.10     102  1.02 |   0.02235   0.01927   0.02055 |   13.78    8.02 |    -8.1 |  23.80 | 1.00/0.00/0.00 | *
     ideal   1024   0.10     102  1.10 |   0.02323   0.02323   0.02240 |    0.00    3.59 |     0.0 |   0.00 | 1.00/0.00/0.00 | *
     ideal   1024   0.25     256  1.00 |   0.02389   0.01645   0.02821 |   31.13  -18.07 |    -9.4 |  48.60 | 1.00/0.00/0.00 | *
     ideal   1024   0.25     256  1.02 |   0.02269   0.01993   0.02134 |   12.15    5.93 |    -6.8 |  17.40 | 1.00/0.00/0.00 | *
     ideal   1024   0.25     256  1.10 |   0.02257   0.02257   0.02172 |    0.00    3.79 |     0.0 |   0.00 | 1.00/0.00/0.00 | *
     ideal   1024   0.50     512  1.00 |   0.02360   0.01681   0.02842 |   28.79  -20.41 |    -9.0 |  52.40 | 1.00/0.00/0.00 | *
     ideal   1024   0.50     512  1.02 |   0.02419   0.02030   0.02129 |   16.08   11.97 |    -7.4 |  22.00 | 1.00/0.00/0.00 | *
     ideal   1024   0.50     512  1.10 |   0.02477   0.02477   0.02365 |    0.00    4.49 |     0.0 |   0.00 | 1.00/0.00/0.00 | *
     ideal   1024   1.00    1024  1.00 |   0.02334   0.01432   0.02651 |   38.63  -13.60 |   -11.2 |  58.00 | 0.00/1.00/0.00 |  
     ideal   1024   1.00    1024  1.02 |   0.02515   0.01997   0.02055 |   20.59   18.30 |    -7.6 |  20.00 | 0.00/1.00/0.00 |  
     ideal   1024   1.00    1024  1.10 |   0.02501   0.02501   0.02359 |    0.00    5.69 |     0.0 |   0.00 | 0.00/1.00/0.00 |  
     ideal   1024   2.00    2048  1.00 |   0.02667   0.01757   0.02835 |   34.10   -6.33 |   -10.1 |  53.60 | 0.00/1.00/0.00 |  
